Date,Weather
4/28/2021,ms
4/29/2021,c
4/30/2021,c
5/1/2021,c
5/2/2021,ms
5/3/2021,ms
5/4/2021,c
5/5/2021,c
5/6/2021,c
5/7/2021,c
5/8/2021,mc
5/9/2021,c
5/10/2021,c
5/11/2021,c
5/12/2021,c
5/13/2021,c
5/14/2021,c
5/15/2021,c
5/16/2021,c
5/17/2021,c
5/18/2021,c
5/19/2021,c
5/20/2021,c
5/21/2021,ms
5/22/2021,ms
5/23/2021,ms
5/24/2021,ms
5/25/2021,mc
5/26/2021,c
5/27/2021,c
5/28/2021,c
5/29/2021,c
5/30/2021,c
5/31/2021,c
6/1/2021,c
6/2/2021,c
6/3/2021,c
6/4/2021,ms
6/5/2021,c
6/6/2021,c
6/7/2021,c
6/8/2021,ms
6/9/2021,ms
6/10/2021,ms
6/11/2021,ms
6/12/2021,ms
6/13/2021,ms
6/14/2021,ms
6/15/2021,ms
6/16/2021,ms
6/17/2021,c
6/18/2021,c
6/19/2021,c
6/20/2021,c
6/21/2021,ms
6/22/2021,ms
6/23/2021,ms
6/24/2021,ms
6/25/2021,ms
6/26/2021,ms
6/27/2021,c
6/28/2021,c
6/29/2021,c
6/30/2021,c
7/1/2021,c
7/2/2021,ms
7/3/2021,ms
7/4/2021,c
7/5/2021,ms
7/6/2021,c
7/7/2021,ms
7/8/2021,ms
7/9/2021,ms
7/10/2021,ms
7/11/2021,ms
7/12/2021,ms
7/13/2021,ms
7/14/2021,ms
7/15/2021,ms
7/16/2021,ms
7/17/2021,ms
7/18/2021,ms
7/19/2021,ms
7/20/2021,ms
7/21/2021,ms
7/22/2021,ms
7/23/2021,c
7/24/2021,ms
7/25/2021,ms
7/26/2021,c
7/27/2021,c
7/28/2021,ms
7/29/2021,ms
7/30/2021,ms
7/31/2021,ms
8/1/2021,ms
8/2/2021,ms
8/3/2021,ms
8/4/2021,ms
8/5/2021,ms
8/6/2021,c
8/7/2021,c
8/8/2021,c
8/9/2021,ms
8/10/2021,ms
8/11/2021,ms
8/12/2021,ms
8/13/2021,ms
8/14/2021,ms
8/15/2021,ms
8/16/2021,ms
8/17/2021,c
8/18/2021,c
8/19/2021,ms
8/20/2021,c
8/21/2021,c
8/22/2021,c
8/23/2021,c
8/24/2021,ms
8/25/2021,ms
8/26/2021,ms
8/27/2021,ms
8/28/2021,f
8/29/2021,ms
8/30/2021,ms
8/31/2021,c
9/1/2021,c
9/2/2021,c
9/3/2021,ms
9/4/2021,ms
9/5/2021,ms
9/6/2021,ms
9/7/2021,ms
9/8/2021,ms
9/9/2021,ms
9/10/2021,ms
9/11/2021,ms
9/12/2021,ms
9/13/2021,f
9/14/2021,ms
9/15/2021,c
9/16/2021,c
9/17/2021,ms
9/18/2021,ms
9/19/2021,ms
9/20/2021,ms
9/21/2021,ms
9/22/2021,ms
9/23/2021,ms
9/24/2021,ms
9/25/2021,ms
9/26/2021,c
9/27/2021,c
9/28/2021,c
9/29/2021,ms
9/30/2021,ms
10/1/2021,ms
10/2/2021,ms
10/3/2021,ms
10/4/2021,ms
10/5/2021,ms
10/6/2021,c
10/7/2021,c
10/8/2021,c
10/9/2021,ms
10/10/2021,ms
10/11/2021,ms
10/12/2021,mc
10/13/2021,ms
10/14/2021,ms
10/15/2021,ms
10/16/2021,ms
10/17/2021,ms
10/18/2021,c
10/19/2021,ms
10/20/2021,ms
10/21/2021,ms
10/22/2021,c
10/23/2021,c
10/24/2021,c
10/25/2021,ss
10/26/2021,mc
10/27/2021,mc
10/28/2021,mc
10/29/2021,f
10/30/2021,c
10/31/2021,c
11/1/2021,ms
11/2/2021,c
11/3/2021,f
11/4/2021,f
11/5/2021,f
11/6/2021,f
11/7/2021,f
11/8/2021,c
11/9/2021,c
11/10/2021,ms
11/11/2021,ms
11/12/2021,ms
11/13/2021,ms
11/14/2021,ms
11/15/2021,ms
11/16/2021,f
11/17/2021,c
11/18/2021,f
11/19/2021,f
11/20/2021,f
11/21/2021,ms
11/22/2021,ms
11/23/2021,ms
11/24/2021,ms
11/25/2021,ms
11/26/2021,ms
11/27/2021,ms
11/28/2021,ms
11/29/2021,ms
11/30/2021,f
12/1/2021,f
12/2/2021,f
12/3/2021,f
12/4/2021,f
12/5/2021,f
12/6/2021,f
12/7/2021,c
12/8/2021,ms
12/9/2021,c
12/10/2021,ms
12/11/2021,ms
12/12/2021,ms
12/13/2021,c
12/14/2021,ss
12/15/2021,ms
12/16/2021,f
12/17/2021,ms
12/18/2021,ms
12/19/2021,ms
12/20/2021,f
12/21/2021,f
12/22/2021,ms
12/23/2021,ss
12/24/2021,c
12/25/2021,c
12/26/2021,ms
12/27/2021,c
12/28/2021,c
12/29/2021,ss
12/30/2021,ss
12/31/2021,ms
1/1/2022,ms
1/2/2022,ms
1/3/2022,ms
1/4/2022,ms
1/5/2022,ms
1/6/2022,f
1/7/2022,c
1/8/2022,ms
1/9/2022,ms
1/10/2022,ms
1/11/2022,ms
1/12/2022,ms
1/13/2022,c
1/14/2022,ms
1/15/2022,c
1/16/2022,c
1/17/2022,c
1/18/2022,c
1/19/2022,c
1/20/2022,ms
1/21/2022,ms
1/22/2022,ms
1/23/2022,ms
1/24/2022,ms
1/25/2022,f
1/26/2022,f
1/27/2022,ms
1/28/2022,ms
1/29/2022,ms
1/30/2022,ms
1/31/2022,f
2/1/2022,mc
2/2/2022,ms
2/3/2022,ms
2/4/2022,ms
2/5/2022,ms
2/6/2022,ms
2/7/2022,ms
2/8/2022,ms
2/9/2022,ms
2/10/2022,ms
2/11/2022,ms
2/12/2022,ms
2/13/2022,ms
2/14/2022,ms
2/15/2022,mc
2/16/2022,ms
2/17/2022,ms
2/18/2022,ms
2/19/2022,ms
2/20/2022,c
2/21/2022,c
2/22/2022,c
2/23/2022,ms
2/24/2022,ms
2/25/2022,ms
2/26/2022,ms
2/27/2022,ms
2/28/2022,ms
3/1/2022,ms
3/2/2022,ms
3/3/2022,f
3/4/2022,c
3/5/2022,c
3/6/2022,ms
3/7/2022,ms
3/8/2022,ms
3/9/2022,ms
3/10/2022,ms
3/11/2022,ms
3/12/2022,ms
3/13/2022,t
3/14/2022,ms
3/15/2022,ms
3/16/2022,ms
3/17/2022,ms
3/18/2022,ms
3/19/2022,ss
3/20/2022,ss
3/21/2022,ms
3/22/2022,ms
3/23/2022,ms
3/24/2022,ms
3/25/2022,f
3/26/2022,c
3/27/2022,c
3/28/2022,c
3/29/2022,ms
3/30/2022,c
3/31/2022,c
4/1/2022,ms
4/2/2022,c
4/3/2022,c
4/4/2022,ms
4/5/2022,ms
4/6/2022,ms
4/7/2022,ms
4/8/2022,ms
4/9/2022,ms
4/10/2022,c
4/11/2022,c
4/12/2022,ms
4/13/2022,ms
4/14/2022,ms
4/15/2022,ms
4/16/2022,c
4/17/2022,ms
4/18/2022,ms
4/19/2022,ms
4/20/2022,ms
4/21/2022,ms
4/22/2022,ms
4/23/2022,ms
4/24/2022,ms
4/25/2022,ms
4/26/2022,ms
4/27/2022,c
4/28/2022,c
4/29/2022,c
4/30/2022,c
5/1/2022,c
5/2/2022,c
5/3/2022,c
5/4/2022,ms
5/5/2022,c
5/6/2022,ms
5/7/2022,ms
5/8/2022,c
5/9/2022,ms
5/10/2022,ms
5/11/2022,ms
5/12/2022,ms
5/13/2022,ms
5/14/2022,ms
5/15/2022,ms
5/16/2022,c
5/17/2022,c
5/18/2022,c
5/19/2022,c
5/20/2022,c
5/21/2022,c
5/22/2022,ms
5/23/2022,c
5/24/2022,c
5/25/2022,ms
5/26/2022,c
5/27/2022,c
5/28/2022,c
5/29/2022,ms
5/30/2022,ms
5/31/2022,ms
6/1/2022,ms
6/2/2022,c
6/3/2022,c
6/4/2022,c
6/5/2022,ms
6/6/2022,c
6/7/2022,c
6/8/2022,c
6/9/2022,c
6/10/2022,ms
6/11/2022,ms
6/12/2022,ms
6/13/2022,c
6/14/2022,ms
6/15/2022,ms
6/16/2022,c
6/17/2022,ms
6/18/2022,ms
6/19/2022,ms
6/20/2022,ms
6/21/2022,ms
6/22/2022,ms
6/23/2022,ms
6/24/2022,ms
6/25/2022,ms
6/26/2022,ms
6/27/2022,ms
6/28/2022,ms
6/29/2022,ms
6/30/2022,ms
7/1/2022,ms
7/2/2022,ms
7/3/2022,ms
7/4/2022,ms
7/5/2022,ms
7/6/2022,c
7/7/2022,ms
7/8/2022,c
7/9/2022,ms
7/10/2022,f
7/11/2022,ms
7/12/2022,c
7/13/2022,ms
7/14/2022,ms
7/15/2022,ms
7/16/2022,ms
7/17/2022,ms
7/18/2022,ms
7/19/2022,ms
7/20/2022,ms
7/21/2022,ms
7/22/2022,ms
7/23/2022,c
7/24/2022,c
7/25/2022,c
7/26/2022,c
7/27/2022,ms
7/28/2022,ms
7/29/2022,ms
7/30/2022,ms
7/31/2022,ms
8/1/2022,ms
8/2/2022,ms
8/3/2022,ms
8/4/2022,ms
8/5/2022,ms
8/6/2022,ms
8/7/2022,ms
8/8/2022,ms
8/9/2022,ms
8/10/2022,ms
8/11/2022,ms
8/12/2022,ms
8/13/2022,ms
8/14/2022,ms
8/15/2022,ms
8/16/2022,ms
8/17/2022,ms
8/18/2022,ms
8/19/2022,ms
8/20/2022,c
8/21/2022,c
8/22/2022,c
8/23/2022,ms
8/24/2022,ms
8/25/2022,ms
8/26/2022,ms
8/27/2022,ms
8/28/2022,c
8/29/2022,ms
8/30/2022,ms
8/31/2022,ms
9/1/2022,ms
9/2/2022,ms
9/3/2022,ms
9/4/2022,ms
9/5/2022,ms
9/6/2022,ms
9/7/2022,ms
9/8/2022,ms
9/9/2022,ss
9/10/2022,c
9/11/2022,c
9/12/2022,ms
9/13/2022,ms
9/14/2022,ms
9/15/2022,ms
9/16/2022,ms
